COD_STRUMENTO;DESCR_STRUMENTO;DESCR_TIPO_STRUMENTO;QUERY;NOTE
C065;PNSC Campania - Piano di intervento dell'Ambito N12 - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C066;PNSC Campania - Piano di intervento dell'Ambito N12 - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C067;PNSC Campania - Piano di intervento dell'Ambito N13 - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C068;PNSC Campania - Piano di intervento dell'Ambito N13 - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C069;PNSC Campania - Piano di intervento dell'Ambito N14 - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C070;PNSC Campania - Piano di intervento dell'Ambito N14 - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C071;PNSC Campania - Piano di intervento dell'Ambito N15 - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C072;PNSC Campania - Piano di intervento dell'Ambito N15 - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C074;PNSC Campania - Piano di intervento dell'Ambito N16 - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C075;PNSC Campania - Piano di intervento dell'Ambito N17 - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C076;PNSC Campania - Piano di intervento dell'Ambito N17 - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C077;PNSC Campania - Piano di intervento dell'Ambito N18 - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C078;PNSC Campania - Piano di intervento dell'Ambito N18 - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C079;PNSC Campania - Piano di intervento dell'Ambito N19 - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C080;PNSC Campania - Piano di intervento dell'Ambito N19 - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C081;PNSC Campania - Piano di intervento dell'Ambito N20 - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C084;PNSC Campania - Piano di intervento dell'Ambito N21 - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C085;PNSC Campania - Piano di intervento dell'Ambito N22 - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C086;PNSC Campania - Piano di intervento dell'Ambito N22 - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C087;PNSC Campania - Piano di intervento dell'Ambito N23 - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C088;PNSC Campania - Piano di intervento dell'Ambito N23 - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C089;PNSC Campania - Piano di intervento dell'Ambito N24 - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C090;PNSC Campania - Piano di intervento dell'Ambito N24 - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C091;PNSC Campania - Piano di intervento dell'Ambito N25 - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C092;PNSC Campania - Piano di intervento dell'Ambito N25 - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C093;PNSC Campania - Piano di intervento dell'Ambito N26 - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C094;PNSC Campania - Piano di intervento dell'Ambito N26 - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C095;PNSC Campania - Piano di intervento dell'Ambito N27 - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C096;PNSC Campania - Piano di intervento dell'Ambito N27 - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C098;PNSC Campania - Piano di intervento dell'Ambito N28 - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C099;PNSC Campania - Piano di intervento dell'Ambito N29 - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C101;PNSC Campania - Piano di intervento dell'Ambito N30 - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C102;PNSC Campania - Piano di intervento dell'Ambito N30 - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C103;PNSC Campania - Piano di intervento dell'Ambito N31 - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C104;PNSC Campania - Piano di intervento dell'Ambito N31 - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C105;PNSC Campania - Piano di intervento dell'Ambito N32 - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C106;PNSC Campania - Piano di intervento dell'Ambito N32 - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C107;PNSC Campania - Piano di intervento dell'Ambito N33 - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C108;PNSC Campania - Piano di intervento dell'Ambito N33 - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C109;PNSC Campania - Piano di intervento dell'Ambito N34 - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C110;PNSC Campania - Piano di intervento dell'Ambito N34 - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C111;PNSC Campania - Piano di intervento dell'Ambito S01 - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C112;PNSC Campania - Piano di intervento dell'Ambito S01 - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C114;PNSC Campania - Piano di intervento dell'Ambito S02 - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C115;PNSC Campania - Piano di intervento dell'Ambito S03 (ex 05) - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C116;PNSC Campania - Piano di intervento dell'Ambito S03 (ex 05) - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C117;PNSC Campania - Piano di intervento dell'Ambito S03 (ex S10) - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C118;PNSC Campania - Piano di intervento dell'Ambito S03 (ex S10) - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C119;PNSC Campania - Piano di intervento dell'Ambito S04 - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C120;PNSC Campania - Piano di intervento dell'Ambito S04 - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C121;PNSC Campania - Piano di intervento dell'Ambito S05 - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C122;PNSC Campania - Piano di intervento dell'Ambito S05 - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C123;PNSC Campania - Piano di intervento dell'Ambito S06 - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C124;PNSC Campania - Piano di intervento dell'Ambito S06 - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C125;PNSC Campania - Piano di intervento dell'Ambito S07 - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C126;PNSC Campania - Piano di intervento dell'Ambito S07 - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C127;PNSC Campania - Piano di intervento dell'Ambito S08 - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C128;PNSC Campania - Piano di intervento dell'Ambito S08 - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C129;PNSC Campania - Piano di intervento dell'Ambito S09 - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C130;PNSC Campania - Piano di intervento dell'Ambito S09 - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C132;PNSC Campania - Piano di intervento dell'Ambito S10 - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C133;PNSC Puglia - Piano di intervento dell'AMBITO DI ALTAMURA - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C134;PNSC Puglia - Piano di intervento dell'AMBITO DI ALTAMURA - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C135;PNSC Puglia - Piano di intervento dell'AMBITO DI ANDRIA - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C136;PNSC Puglia - Piano di intervento dell'AMBITO DI ANDRIA - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C137;PNSC Puglia - Piano di intervento dell'AMBITO DI BARI - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C138;PNSC Puglia - Piano di intervento dell'AMBITO DI BARI - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C139;PNSC Puglia - Piano di intervento dell'AMBITO DI BARLETTA - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C140;PNSC Puglia - Piano di intervento dell'AMBITO DI BARLETTA - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C141;PNSC Puglia - Piano di intervento dell'AMBITO DI BITONTO - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C142;PNSC Puglia - Piano di intervento dell'AMBITO DI BITONTO - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C143;PNSC Puglia - Piano di intervento dell'AMBITO DI BRINDISI - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C144;PNSC Puglia - Piano di intervento dell'AMBITO DI BRINDISI - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C145;PNSC Puglia - Piano di intervento dell'AMBITO DI CAMPI SALENTINA - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C146;PNSC Puglia - Piano di intervento dell'AMBITO DI CAMPI SALENTINA - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C147;PNSC Puglia - Piano di intervento dell'AMBITO DI CANOSA DI PUGLIA - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C148;PNSC Puglia - Piano di intervento dell'AMBITO DI CANOSA DI PUGLIA - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C149;PNSC Puglia - Piano di intervento dell'AMBITO DI CASARANO - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C150;PNSC Puglia - Piano di intervento dell'AMBITO DI CASARANO - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C151;PNSC Puglia - Piano di intervento dell'AMBITO DI CERIGNOLA - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C152;PNSC Puglia - Piano di intervento dell'AMBITO DI CERIGNOLA - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C153;PNSC Puglia - Piano di intervento dell'AMBITO DI CONVERSANO - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C154;PNSC Puglia - Piano di intervento dell'AMBITO DI CONVERSANO - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C155;PNSC Puglia - Piano di intervento dell'AMBITO DI CORATO - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C156;PNSC Puglia - Piano di intervento dell'AMBITO DI CORATO - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C157;PNSC Puglia - Piano di intervento dell'AMBITO DI FASANO - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C158;PNSC Puglia - Piano di intervento dell'AMBITO DI FASANO - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C159;PNSC Puglia - Piano di intervento dell'AMBITO DI FOGGIA - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C160;PNSC Puglia - Piano di intervento dell'AMBITO DI FOGGIA - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C161;PNSC Puglia - Piano di intervento dell'AMBITO DI FRANCAVILLA FONTANA - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C162;PNSC Puglia - Piano di intervento dell'AMBITO DI FRANCAVILLA FONTANA - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C163;PNSC Puglia - Piano di intervento dell'AMBITO DI GAGLIANO DEL CAPO - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C164;PNSC Puglia - Piano di intervento dell'AMBITO DI GAGLIANO DEL CAPO - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C165;PNSC Puglia - Piano di intervento dell'AMBITO DI GALATINA - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C166;PNSC Puglia - Piano di intervento dell'AMBITO DI GALATINA - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C167;PNSC Puglia - Piano di intervento dell'AMBITO DI GALLIPOLI - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C168;PNSC Puglia - Piano di intervento dell'AMBITO DI GALLIPOLI - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C169;PNSC Puglia - Piano di intervento dell'AMBITO DI GINOSA - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C170;PNSC Puglia - Piano di intervento dell'AMBITO DI GINOSA - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C171;PNSC Puglia - Piano di intervento dell'AMBITO DI GIOIA DEL COLLE - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C172;PNSC Puglia - Piano di intervento dell'AMBITO DI GIOIA DEL COLLE - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C173;PNSC Puglia - Piano di intervento dell'AMBITO DI GROTTAGLIE - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C174;PNSC Puglia - Piano di intervento dell'AMBITO DI GROTTAGLIE - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C175;PNSC Puglia - Piano di intervento dell'AMBITO DI GRUMO APPULA - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C176;PNSC Puglia - Piano di intervento dell'AMBITO DI GRUMO APPULA - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C177;PNSC Puglia - Piano di intervento dell'AMBITO DI LECCE - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C178;PNSC Puglia - Piano di intervento dell'AMBITO DI LECCE - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C179;PNSC Puglia - Piano di intervento dell'AMBITO DI LUCERA - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C180;PNSC Puglia - Piano di intervento dell'AMBITO DI LUCERA - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C181;PNSC Puglia - Piano di intervento dell'AMBITO DI MAGLIE - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C182;PNSC Puglia - Piano di intervento dell'AMBITO DI MAGLIE - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C183;PNSC Puglia - Piano di intervento dell'AMBITO DI MANDURIA - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C185;PNSC Puglia - Piano di intervento dell'AMBITO DI MANFREDONIA - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C186;PNSC Puglia - Piano di intervento dell'AMBITO DI MANFREDONIA - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C187;PNSC Puglia - Piano di intervento dell'AMBITO DI MARGHERITA DI SAVOIA - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C188;PNSC Puglia - Piano di intervento dell'AMBITO DI MARGHERITA DI SAVOIA - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C189;PNSC Puglia - Piano di intervento dell'AMBITO DI MARTANO - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C190;PNSC Puglia - Piano di intervento dell'AMBITO DI MARTANO - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C191;PNSC Puglia - Piano di intervento dell'AMBITO DI MARTINA FRANCA - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C192;PNSC Puglia - Piano di intervento dell'AMBITO DI MARTINA FRANCA - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C193;PNSC Puglia - Piano di intervento dell'AMBITO DI MASSAFRA - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C194;PNSC Puglia - Piano di intervento dell'AMBITO DI MASSAFRA - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C195;PNSC Puglia - Piano di intervento dell'AMBITO DI MESAGNE - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C196;PNSC Puglia - Piano di intervento dell'AMBITO DI MESAGNE - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C197;PNSC Puglia - Piano di intervento dell'AMBITO DI MODUGNO - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C198;PNSC Puglia - Piano di intervento dell'AMBITO DI MODUGNO - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C199;PNSC Puglia - Piano di intervento dell'AMBITO DI MOLA DI BARI - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C200;PNSC Puglia - Piano di intervento dell'AMBITO DI MOLA DI BARI - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C201;PNSC Puglia - Piano di intervento dell'AMBITO DI MOLFETTA - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C202;PNSC Puglia - Piano di intervento dell'AMBITO DI MOLFETTA - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C203;PNSC Puglia - Piano di intervento dell'AMBITO DI NARDO' - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C204;PNSC Puglia - Piano di intervento dell'AMBITO DI NARDO' - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C205;PNSC Puglia - Piano di intervento dell'AMBITO DI POGGIARDO - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C206;PNSC Puglia - Piano di intervento dell'AMBITO DI POGGIARDO - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C207;PNSC Puglia - Piano di intervento dell'AMBITO DI PUTIGNANO - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C208;PNSC Puglia - Piano di intervento dell'AMBITO DI PUTIGNANO - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C209;PNSC Puglia - Piano di intervento dell'AMBITO DI SAN MARCO IN LAMIS - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C210;PNSC Puglia - Piano di intervento dell'AMBITO DI SAN MARCO IN LAMIS - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C211;PNSC Puglia - Piano di intervento dell'AMBITO DI SAN SEVERO - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C212;PNSC Puglia - Piano di intervento dell'AMBITO DI SAN SEVERO - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C213;PNSC Puglia - Piano di intervento dell'AMBITO DI TARANTO - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C214;PNSC Puglia - Piano di intervento dell'AMBITO DI TARANTO - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C215;PNSC Puglia - Piano di intervento dell'AMBITO DI TRANI - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C216;PNSC Puglia - Piano di intervento dell'AMBITO DI TRANI - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C217;PNSC Puglia - Piano di intervento dell'AMBITO DI TRIGGIANO - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C218;PNSC Puglia - Piano di intervento dell'AMBITO DI TRIGGIANO - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C219;PNSC Puglia - Piano di intervento dell'AMBITO DI TROIA - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C220;PNSC Puglia - Piano di intervento dell'AMBITO DI TROIA - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C221;PNSC Puglia - Piano di intervento dell'AMBITO DI VICO DEL GARGANO - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C222;PNSC Puglia - Piano di intervento dell'AMBITO DI VICO DEL GARGANO - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C223;PNSC Calabria - Piano di intervento del Distretto nÃÂ° 2 RC NORD -SEDE REGGIO CALABRIA  - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C224;PNSC Calabria - Piano di intervento del Distretto nÃÂ° 2 RC NORD -SEDE REGGIO CALABRIA  - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C225;PNSC Calabria - Piano di intervento del Distretto NÃÂ° 3 SEDE AMANTEA - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C226;PNSC Calabria - Piano di intervento del Distretto NÃÂ° 3 SEDE AMANTEA - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C227;PNSC Calabria - Piano di intervento del Distretto nÃÂ°1  SEDE VILLA S. GIOVANNI - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C228;PNSC Calabria - Piano di intervento del Distretto nÃÂ°1  SEDE VILLA S. GIOVANNI - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C229;PNSC Calabria - Piano di intervento del Distretto nÃÂ°1 DISTRETTO NORD SEDE CAULONIA - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C230;PNSC Calabria - Piano di intervento del Distretto nÃÂ°1 DISTRETTO NORD SEDE CAULONIA - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C231;PNSC Calabria - Piano di intervento del Distretto nÃÂ°1 -NORD- SEDE CATANZARO - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C232;PNSC Calabria - Piano di intervento del Distretto nÃÂ°1 -NORD- SEDE CATANZARO - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C233;PNSC Calabria - Piano di intervento del Distretto nÃÂ°1 Praia/Scalea SEDE PRAIA A MARE - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C234;PNSC Calabria - Piano di intervento del Distretto nÃÂ°1 Praia/Scalea SEDE PRAIA A MARE - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C235;PNSC Calabria - Piano di intervento del Distretto nÃÂ°1 SEDE CASTROVILLARI - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C236;PNSC Calabria - Piano di intervento del Distretto nÃÂ°1 SEDE CASTROVILLARI - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C238;PNSC Calabria - Piano di intervento del Distretto nÃÂ°1 SEDE CIRO' MARINA - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C239;PNSC Calabria - Piano di intervento del Distretto nÃÂ°1 SEDE COSENZA - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C240;PNSC Calabria - Piano di intervento del Distretto nÃÂ°1 SEDE COSENZA - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C241;PNSC Calabria - Piano di intervento del Distretto nÃÂ°1 SEDE LAMEZIA TERME - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C242;PNSC Calabria - Piano di intervento del Distretto nÃÂ°1 SEDE LAMEZIA TERME - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C243;PNSC Calabria - Piano di intervento del Distretto nÃÂ°1 SEDE POLISTENA - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C244;PNSC Calabria - Piano di intervento del Distretto nÃÂ°1 SEDE POLISTENA - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C245;PNSC Calabria - Piano di intervento del Distretto nÃÂ°1 SEDE ROSSANO - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C246;PNSC Calabria - Piano di intervento del Distretto nÃÂ°1 SEDE ROSSANO - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C247;PNSC Calabria - Piano di intervento del Distretto nÃÂ°1 SEDE VIBO VALENTIA - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C248;PNSC Calabria - Piano di intervento del Distretto nÃÂ°1 SEDE VIBO VALENTIA - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C249;PNSC Calabria - Piano di intervento del Distretto nÃÂ°2 DISTRETTO SUD SEDE BOVALINO - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C253;PNSC Calabria - Piano di intervento del Distretto nÃÂ°2 REVENTINO SEDE SOVERIA MANNELLI - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C254;PNSC Calabria - Piano di intervento del Distretto nÃÂ°2 REVENTINO SEDE SOVERIA MANNELLI - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C255;PNSC Calabria - Piano di intervento del Distretto nÃÂ°2 SEDE CARIATI - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C256;PNSC Calabria - Piano di intervento del Distretto nÃÂ°2 SEDE CARIATI - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C257;PNSC Calabria - Piano di intervento del Distretto nÃÂ°2 SEDE GIOIA TAURO - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C258;PNSC Calabria - Piano di intervento del Distretto nÃÂ°2 SEDE GIOIA TAURO - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C260;PNSC Calabria - Piano di intervento del Distretto nÃÂ°2 SEDE MESORACA - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C261;PNSC Calabria - Piano di intervento del Distretto nÃÂ°2 SEDE RENDE - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C262;PNSC Calabria - Piano di intervento del Distretto nÃÂ°2 SEDE RENDE - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C263;PNSC Calabria - Piano di intervento del Distretto nÃÂ°2 SEDE S.MARCO ARGENTANO - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C264;PNSC Calabria - Piano di intervento del Distretto nÃÂ°2 SEDE S.MARCO ARGENTANO - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C265;PNSC Calabria - Piano di intervento del Distretto nÃÂ°2 SEDE SERRA S. BRUNO - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C266;PNSC Calabria - Piano di intervento del Distretto nÃÂ°2 SEDE SERRA S. BRUNO - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C267;PNSC Calabria - Piano di intervento del Distretto nÃÂ°2 -SUD- SEDE CATANZARO LIDO - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C268;PNSC Calabria - Piano di intervento del Distretto nÃÂ°2 -SUD- SEDE CATANZARO LIDO - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C269;PNSC Calabria - Piano di intervento del Distretto nÃÂ°3 MEDIA VALLE CRATI - SEDE MONTALTO UFFUGO - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C270;PNSC Calabria - Piano di intervento del Distretto nÃÂ°3 MEDIA VALLE CRATI - SEDE MONTALTO UFFUGO - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C271;PNSC Calabria - Piano di intervento del Distretto nÃÂ°3 RC SUD SEDE REGGIO CALABRIA - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;0;
C272;PNSC Calabria - Piano di intervento del Distretto nÃÂ°3 RC SUD SEDE REGGIO CALABRIA - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;0;
