OC_CODICE_PROGRAMMA;COD_STRUMENTO;DESCR_STRUMENTO;DESCR_TIPO_STRUMENTO;x_CICLO;x_AMBITO;x_PROGRAMMA;QUERY;NOTE
PSCABRUZZO;AB1-648-15;Sostegno Centro Turistico Gran Sasso (Art. 25, co.2, L.R. 10/2020);STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;AB1-648-16;Contributo Aeroporto d'Abruzzo S.A.G.A. (Art. 26, L.R. 10/2020);STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;AB1-648-18;Attuazione art. 16 (Contributi Aric) l.r. 10/2020 (Art. 29, co.1, l.r. 10/2020);STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;AB1-663-01;"Scorrimento della graduatoria ""Contributi a fondo perduto""";STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;AB1-98-01;ontributi a fondo perduto per i gestori delle aree sciistiche attrezzate (ex art. 2, co 1 della LR 39/2020);STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;AB1-98-02;contributi a fondo perduto destinati agli interventi a favore dei Comuni, dei Consorzi e delle Amministrazioni Separate dei beni di uso civico (ASBUC) nel cui territorio ricadono le aree sciabili attr;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;AB1-98-03;contributo al Comune di Scanno per lÂ¿acquisizione, sulla base di accordo transattivo, del complesso infrastrutturale del bacino sciistico di Collerotondo (art.3 co.3 LR 39/2020);STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;AB1-C49-01;Aiuti agli operatori della montagna;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;AB1-C49-02;Aiuti alla categoria di B&B non professionali;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;AB1-C49-03;Aiuti alla categoria professionale dei fotografi;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;AB1-C49-04;Aiuti alle Microimprese delle zone rosse COVID-19;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;AB1-C49-05;Completamento dellÂ¿Azione 3.1.1Â¿ Asse III Â¿ Avviso Pubblico per aiuti per investimenti a sostegno dellÂ¿economia nell'emergenza da COVID-19;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;AB1-C49-07;Contributo alle Aziende di Servizi alla Persona - ASP;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;AB1-C49-09;Intervento a favore dei titolari di concessioni demaniali marittimi per contrastare l'emergenza covid della stagione 2020;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;AB1-C49-10;Realizzazione di un punto di ristoro e Museo del Fungo porcino - SAD;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;AB1-C49-13;Scorrimento delle graduatorie degli studenti idonei alla borsa di studio A.A. 2020-2021;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;AB1-C49-15;"Sostegno alla ""distillazione di crisi""";STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO2021;AB18-SI01;SERVIZI IDRICO - CIPESS 18/23;STRUMENTI ATTUAZIONE DIRETTA;2021-2027;FSC;PSC ABRUZZO;0;
PSCABRUZZO2021;AB79-AA;AIUTI AGRICOLTUA;STRUMENTI ATTUAZIONE DIRETTA;2021-2027;FSC;PSC ABRUZZO;0;
PSCABRUZZO2021;AB79-AD;AREE DEGRADATE DEL DPC;STRUMENTI ATTUAZIONE DIRETTA;2021-2027;FSC;PSC ABRUZZO;0;
PSCABRUZZO2021;AB79-AT;AIUTI TURISMO;STRUMENTI ATTUAZIONE DIRETTA;2021-2027;FSC;PSC ABRUZZO;0;
PSCABRUZZO2021;AB79-LA;LAVORI AGRICOLTURA;STRUMENTI ATTUAZIONE DIRETTA;2021-2027;FSC;PSC ABRUZZO;0;
PSCABRUZZO2021;AB79-LC;LAVORI CICLABILE;STRUMENTI ATTUAZIONE DIRETTA;2021-2027;FSC;PSC ABRUZZO;0;
PSCABRUZZO2021;AB79-LP;LAVORI PPRESIDENZA;STRUMENTI ATTUAZIONE DIRETTA;2021-2027;FSC;PSC ABRUZZO;0;
PSCABRUZZO2021;AB79-LS;LAVORI SPORT;STRUMENTI ATTUAZIONE DIRETTA;2021-2027;FSC;PSC ABRUZZO;0;
PSCABRUZZO2021;AB79-LT;LAVORI TRASPORTI;STRUMENTI ATTUAZIONE DIRETTA;2021-2027;FSC;PSC ABRUZZO;0;
PSCABRUZZO2021;AB79-SA;SERVIZI AGRICOLTURA;STRUMENTI ATTUAZIONE DIRETTA;2021-2027;FSC;PSC ABRUZZO;0;
PSCABRUZZO;ABAG;Agricoltura;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;ABAT;CapacitÃ  istituzionale ed efficienza delle pubbliche amministrazioni;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;ABBC;Recupero Beni culturali, storici e ambientali;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;ABBS;Bonifica siti degradati;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;ABBT;Adeguamento e potenziamento aree turistiche;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC ABRUZZO;0;
2007SA002FA016;SAFD;Interventi di rilevanza strategica regionale nei settori ambientali della depurazione delle acque e trattamento delle acque reflue urbane;ACCORDO DI PROGRAMMA QUADRO (APQ);2007-2013;FSC;PRA SARDEGNA;0;
PSCABRUZZO;ABCI;Ciclo Idrico integrato;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;ABCM;Chiese e Musei;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;ABCOV-BOFA;LL.RR. nn. 09/2020 e 10/2020 Contributo per l'acquisto di beni di prima necessitÃ  - Bonus Famiglia;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;ABCV;Collegamenti Viari;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;ABEC;Beni ed edifici comunali;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;ABFF;Collegamenti ferroviari e filoviari;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;ABID;Infrastrutture delle Tecnologie dell'informazione e della comunicazione;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;ABIF;Impiantistica a fune;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;ABII;Infrastrutture immobiliari strategiche;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;ABIN;Infrastrutture nodali e logistica;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;ABMC;MobilitÃ  ciclo pedonale;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;ABMM;MobilitÃ  multimodale;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;ABMS;MOBILITA' - IV^ATTO INTEGRATIVO;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;ABOM;Opere Marittime e Acque Marine;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;ABOP;Sicurezza Opere Pubbliche;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;ABPC;Eventi calamitosi e protezione civile;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;ABPR;Prevenzione e gestione rischi ambientali;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;AA03;Completamento e rafforzamento del sistema logistico di mobilita regionale per favorire lo sviluppo economico territoriale in rif. alla movimentazione passeggeri e merci.INTERVENTO 1 PORTI E AEROPORTI;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC ABRUZZO;0;
2007AB002FA001;SI1R;Migliorare lÃÂ¿accesso al credito delle PMI abruzzesi;STRUMENTI DI ATTUAZIONE DIRETTA;2007-2013;FSC;PAR FSC ABRUZZO;0;
PSCABRUZZO;ABRA;Ricerca applicata;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;AA01;Rafforzare e migliorare il sistema di mobilitÃ  regionale nei centri urbani e nelle aree montane attraverso l'incentivazione di mobilitÃ  di trasporto sostenibili (filovie, funivie, combinazioni inter;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC ABRUZZO;0;
2007AB002FA001;AA01;Rafforzare e migliorare il sistema di mobilitÃÂ  regionale nei centri urbani e nelle aree montane attraverso l'incentivazione di mobilitÃÂ  di trasporto sostenibili (filovie, funivie, combinazioni i;ACCORDO DI PROGRAMMA QUADRO (APQ);2007-2013;FSC;PAR FSC ABRUZZO;0;
PSCABRUZZO;AA04;Completamento e rafforzamento del sistema logistico di mobilitÃ  regionale per favorire lo sviluppo economico territoriale in riferimento alla movimentazione passeggeri e merci.;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC ABRUZZO;0;
2007AB002FA001;AA04;Completamento e rafforzamento del sistema logistico di mobilitÃÂ  regionale per favorire lo sviluppo economico territoriale in riferimento alla movimentazione passeggeri e merci.;ACCORDO DI PROGRAMMA QUADRO (APQ);2007-2013;FSC;PAR FSC ABRUZZO;0;
PSCABRUZZO;AA07;AA07-II^ATTO INTEGRATIVO Completamento e rafforz.del sistema logistico di mobilita regionale per favorire lo svil.economico territoriale in rif.alla movimentaz.passeggeri merci.INT.1 PORTI AEROPORTI;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;AB01;Riduzione del rischio derivante da fenomeni alluvionali, franosi ed erosivi delle diverse fasce del territorio regionale (montagna interna, pedemontana e costiera).;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC ABRUZZO;0;
2007AB002FA001;AB01;Riduzione del rischio derivante da fenomeni alluvionali, franosi ed erosivi delle diverse fasce del territorio regionale (montagna interna, pedemontana e costiera).;ACCORDO DI PROGRAMMA QUADRO (APQ);2007-2013;FSC;PAR FSC ABRUZZO;0;
PSCABRUZZO;AB04;"I^ ATTO INTEGRATIVO APQ RIDUZIONE DEL RISCHIO IDROGEOLOGICO DERIVANTE DA FENOMENI FRANOSI, ALLUVIONALI ED EROSIVI""";ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;AF01;Sostenere la realizzazione dellÂ¿Azione Connessa Automotive;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;AF02;Beni Culturali;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC ABRUZZO;0;
2007AB002FA001;AF02;Beni Culturali;ACCORDO DI PROGRAMMA QUADRO (APQ);2007-2013;FSC;PAR FSC ABRUZZO;0;
PSCABRUZZO;AG01;Crescita Digitale della Regione ABRUZZO;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC ABRUZZO;0;
2007AB002FA001;AG01;Crescita Digitale della Regione ABRUZZO;ACCORDO DI PROGRAMMA QUADRO (APQ);2007-2013;FSC;PAR FSC ABRUZZO;0;
PSCABRUZZO;AH01;APQ VALLE PELIGNA;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;ABRAP;Aree protette;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;ABRAS;Azioni di Sistema;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;ABRAU;Aree Urbane;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;ABRAV;Riserva Aree Urbane;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;ABRAW;Riserve Aree urbane - Atto Integrativo;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;ABRBC;Beni Culturali;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;ABRBD;Atto Integrativo Beni Culturali;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;ABRBE;Secondo Atto Integrativo Beni Culturali;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;ABRBF;Terzo Atto Integrativo Beni Culturali;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;ABRBG;Quarto atto integrativo Beni Culturali;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;ABRBV;Promozione e Diffusione Arte Contemporanea e Valorizzazione Contesti Architettonici e Urbani nel Sud;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;CAB1;Sistema Universitario Abruzzo;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC ABRUZZO;0;
2007AB003FA001;CAB1;Sistema Universitario Abruzzo;ACCORDO DI PROGRAMMA QUADRO (APQ);2007-2013;FSC;PRA ABRUZZO;0;
PSCABRUZZO;ABRCI;Completamenti di infrastrutture industriali;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;ABRCJ;Atto Integrativo Completamenti di Infrastrutture Industriali;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;ABRCK;Secondo Atto Integrativo Completamenti di Infrastrutture Industriali;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;ABRCW;Terzo Atto integrativo - Completamento infrastrutture industriali;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;ABRDS;Difesa Suolo;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;ABRDT;Atto Integrativo Difesa Suolo - Beni Ambientali;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;ABRDU;Secondo atto integrativo difesa suolo e beni ambientali;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;ABRDV;Terzo atto integrativo difesa suolo;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;ABRDW;Difesa del suolo - IV atto integrativo;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;ABDX;Difesa del suolo - V atto integrativo - APQ;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;ABRI;Mitigazione rischio idrogeologico;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;ABRIN;Completamento Interporto Val Pescara e Centro Smistamento Merci della Marsica;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;ABRMO;Mobilita';ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;ABRMP;MobilitÃ  - I Atto Integrativo;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;ABRMR;MobilitÃ  - III Atto integrativo;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;ABRP;Ricerca pura;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;ABRP1;Infrastrutture Patto Territoriale C.M.Peligna;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;ABRP2;Infrastrutture Patto Territoriale Marsica;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;ABRP3;Infrastrutture Patto Territoriale Trigno-Sinello;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;ABRPO;Porti;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;ABRPP;Porti - I Atto integrativo;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;ABRPS;Promozione Sociale;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;ABRPT;Promozione sociale - I Atto integrativo;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;ABRRC;Innovazione tecnologica, qualitÃ  e sicurezza degli alimenti;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;ABRRI;Ciclo Idrico Integrato;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;ABRRJ;Atto Integrativo Ciclo Idrico Integrato;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;ABRRK;II Atto integrativo - Ciclo idrico integrato;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;ABRS2;SdF Infrastrutture a Sostegno AttivitÃ  Produttive;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;ABRS3;SdF Corridoio Adriatico e trasversali col Tirreno;ACCORDO DI PROGRAMMA QUADRO;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;SA02;Realizzazione di impianto funiviario con veicoli misti in localitÃ  Prati di Tivo nel comprensorio teramano del Gran Sasso - Linea d'azione III.2.1.a;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;SA03;Mondiali di Sci Juniores 2012, Roccaraso (AQ) - Linea d'azione III.2.1.a;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;SA04;LdA 322a  Completamento e rafforzamento del sistema logistico di mobilitÃ  regionale per favorire lo sviluppo economico territoriale in riferimento alla movimentazione passeggeri e merci;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;SA05;Miglioramento dei collegamenti con Roma attraverso la realizzazione di una rete integrata ferro gomma e potenz. parco rotabile destinato al TPL Acquisto di autobus ad alimentazione non convenzionale;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;SA06;III21a Rafforzare e migl il sistema di mobilitÃ  regionale nei centri urbani e nelle aree montane  attraverso l'incentivazione di mobilitÃ  di trasporto sostenibili (funivie, filovie, combinazioni.);STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;SA07;LdA III.2.2.a Completamento e rafforzamento del sistema logistico di mobilitÃ  regionale per favorire lo sviluppo economico territoriale in riferimento alla movimentazione passeggeri e merci.;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;SA08;Potenziamento e specializzazione del parco rotabile destinato al TPL esercitato in ambito regionale e sistema viario - Giro D'Italia;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;SA09;Potenziamento e specializzazione del parco rotabile destinato al TPL esercitato in ambito regionale sistema viario - SAD;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;SB02;Recuperare e rifunzionalizzare i detrattori ambientali e Rafforzare la governance delle politiche ambientali;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;SB03;Riqualificazione del paesaggio urbano e miglioramento della fruizione infrastrutturale;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;SB05;Realizzazione di opere infrastrutturali per lÂ¿adeguamento ed il potenziamento del servizio idrico integrato (acquedotti, fognature e depuratori);STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC ABRUZZO;0;
2007AB002FA001;SB05;Realizzazione di opere infrastrutturali per lÃÂ¿adeguamento ed il potenziamento del servizio idrico integrato (acquedotti, fognature e depuratori);STRUMENTI DI ATTUAZIONE DIRETTA;2007-2013;FSC;PAR FSC ABRUZZO;0;
PSCABRUZZO;SB07;Attuazione dei Â¿Programmi straordinari per lo sviluppo delle raccolte differenziate, il recupero e il ricicloÂ¿ e del Â¿Programma straordinario per la prevenzione e riduzione dei rifiutiÂ¿;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC ABRUZZO;0;
2007AB002FA001;SB07;Attuazione dei ÃÂ¿Programmi straordinari per lo sviluppo delle raccolte differenziate, il recupero e il ricicloÃÂ¿ e del ÃÂ¿Programma straordinario per la prevenzione e riduzione dei rifiutiÃÂ¿;STRUMENTI DI ATTUAZIONE DIRETTA;2007-2013;FSC;PAR FSC ABRUZZO;0;
PSCABRUZZO;SB08;Attuazione dei Â¿Programmi straordinari per lo sviluppo delle raccolte differenziate, il recupero e il ricicloÂ¿ e del Â¿Programma straordinario per la prevenzione e riduzione dei rifiutiÂ¿;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;SB09;Attuazione dei Â¿Programmi straordinari per lo sviluppo delle raccolte differenziate, il recupero e il ricicloÂ¿ e del Â¿Programma straordinario per la prevenzione e riduzione dei rifiutiÂ¿;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC ABRUZZO;0;
2007AB002FA001;SB09;Attuazione dei ÃÂ¿Programmi straordinari per lo sviluppo delle raccolte differenziate, il recupero e il ricicloÃÂ¿ e del ÃÂ¿Programma straordinario per la prevenzione e riduzione dei rifiutiÃÂ¿;STRUMENTI DI ATTUAZIONE DIRETTA;2007-2013;FSC;PAR FSC ABRUZZO;0;
PSCABRUZZO;SB10;Completamento del sistema impiantistico di trattamento e compostaggio;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;SB12;Interventi per il recupero e il riutilizzo delle risorse idriche non pregiate per usi compatibili in ambito irriguo e civile;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;SB13;IV.1.2.c - Interventi di bonifica / messa in sicurezza di discariche pubbliche dismesse  - INT1 E 2;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;SB1R;Recupero e ripristino naturalistico/paesaggistico degli ambiti degradati e vulnerabili, anche mediante lÂ¿eliminazione dei detrattori ambientali;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC ABRUZZO;0;
2007AB002FA001;SB1R;Recupero e ripristino naturalistico/paesaggistico degli ambiti degradati e vulnerabili, anche mediante lÃÂ¿eliminazione dei detrattori ambientali;STRUMENTI DI ATTUAZIONE DIRETTA;2007-2013;FSC;PAR FSC ABRUZZO;0;
PSCABRUZZO;SBOB;Linea di Azione IV.1.1.a: Realizzazione di opere infrastrutturali per adeguamento e potenziamento del Servizio Idrico Integrato (Acquedotti, fognature e depuratori) e le Risorse premiali FSC - ODS (S-;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;SE01;Iniziative ed eventi sportivi;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;SE02;Interventi di messa in sicurezza degli edifici scolastici di proprietÃ  degli Enti Locali abruzzesi;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;SE03;Attuazione del Piano di Azione Obiettivi di Servizio Â¿ Servizi di cura per lÂ¿infanzia (Linea su 2 Direzioni - vedi anche Direzione DL);STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;SE04;Verifica della sicurezza sismica, adeguamento e riqualificazione del patrimonio di edilizia residenziale pubblica esistente e degli edifici pubblici destinati ad attivitÃ  sociali di tipo residenziale;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;SE05;Potenziamento del patrimonio di edilizia residenziale pubblico con affitto a canone concordato nei quartieri degradati delle cittÃ ;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC ABRUZZO;0;
2007AB002FA001;SE05;Potenziamento del patrimonio di edilizia residenziale pubblico con affitto a canone concordato nei quartieri degradati delle cittÃÂ ;STRUMENTI DI ATTUAZIONE DIRETTA;2007-2013;FSC;PAR FSC ABRUZZO;0;
PSCABRUZZO;SE06;Interventi di messa in sicurezza dal rischio sismico delle strutture ove hanno sede i Municipi ed altre funzioni pubbliche comunali (con esclusione delle scuole) e degli edifici di proprietÃ  dellÂ¿Am;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;SE08;Attuazione del Piano di Azione Obiettivi di Servizio Â¿ Servizi di cura per lÂ¿infanzia (Linea su 2 Direzioni - vedi anche Direzione DC);STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC ABRUZZO;0;
PSCABRUZZO;SE11;Linea d'azione I.3.1.c - Campionati mondiali di sci, cat. Juniores, Roccaraso 2012;STRUMENTI ATTUAZIONE DIRETTA;2014-2020;FSC;PSC ABRUZZO;0;
