COD_STRUMENTO;DESCR_STRUMENTO;DESCR_TIPO_STRUMENTO;OC_CODICE_PROGRAMMA;x_CICLO;x_AMBITO;x_PROGRAMMA;QUERY;NOTE
C211;PNSC Puglia - Piano di intervento dell'AMBITO DI SAN SEVERO - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C212;PNSC Puglia - Piano di intervento dell'AMBITO DI SAN SEVERO - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C213;PNSC Puglia - Piano di intervento dell'AMBITO DI TARANTO - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C214;PNSC Puglia - Piano di intervento dell'AMBITO DI TARANTO - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C215;PNSC Puglia - Piano di intervento dell'AMBITO DI TRANI - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C216;PNSC Puglia - Piano di intervento dell'AMBITO DI TRANI - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C217;PNSC Puglia - Piano di intervento dell'AMBITO DI TRIGGIANO - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C218;PNSC Puglia - Piano di intervento dell'AMBITO DI TRIGGIANO - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C219;PNSC Puglia - Piano di intervento dell'AMBITO DI TROIA - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C220;PNSC Puglia - Piano di intervento dell'AMBITO DI TROIA - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C221;PNSC Puglia - Piano di intervento dell'AMBITO DI VICO DEL GARGANO - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C222;PNSC Puglia - Piano di intervento dell'AMBITO DI VICO DEL GARGANO - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C223;PNSC Calabria - Piano di intervento del Distretto nÃÂ° 2 RC NORD -SEDE REGGIO CALABRIA  - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C224;PNSC Calabria - Piano di intervento del Distretto nÃÂ° 2 RC NORD -SEDE REGGIO CALABRIA  - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C225;PNSC Calabria - Piano di intervento del Distretto NÃÂ° 3 SEDE AMANTEA - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C226;PNSC Calabria - Piano di intervento del Distretto NÃÂ° 3 SEDE AMANTEA - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C227;PNSC Calabria - Piano di intervento del Distretto nÃÂ°1  SEDE VILLA S. GIOVANNI - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C228;PNSC Calabria - Piano di intervento del Distretto nÃÂ°1  SEDE VILLA S. GIOVANNI - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C229;PNSC Calabria - Piano di intervento del Distretto nÃÂ°1 DISTRETTO NORD SEDE CAULONIA - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C230;PNSC Calabria - Piano di intervento del Distretto nÃÂ°1 DISTRETTO NORD SEDE CAULONIA - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C231;PNSC Calabria - Piano di intervento del Distretto nÃÂ°1 -NORD- SEDE CATANZARO - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C232;PNSC Calabria - Piano di intervento del Distretto nÃÂ°1 -NORD- SEDE CATANZARO - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C233;PNSC Calabria - Piano di intervento del Distretto nÃÂ°1 Praia/Scalea SEDE PRAIA A MARE - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C234;PNSC Calabria - Piano di intervento del Distretto nÃÂ°1 Praia/Scalea SEDE PRAIA A MARE - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C235;PNSC Calabria - Piano di intervento del Distretto nÃÂ°1 SEDE CASTROVILLARI - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C236;PNSC Calabria - Piano di intervento del Distretto nÃÂ°1 SEDE CASTROVILLARI - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C238;PNSC Calabria - Piano di intervento del Distretto nÃÂ°1 SEDE CIRO' MARINA - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C239;PNSC Calabria - Piano di intervento del Distretto nÃÂ°1 SEDE COSENZA - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C240;PNSC Calabria - Piano di intervento del Distretto nÃÂ°1 SEDE COSENZA - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C241;PNSC Calabria - Piano di intervento del Distretto nÃÂ°1 SEDE LAMEZIA TERME - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C242;PNSC Calabria - Piano di intervento del Distretto nÃÂ°1 SEDE LAMEZIA TERME - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C243;PNSC Calabria - Piano di intervento del Distretto nÃÂ°1 SEDE POLISTENA - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C244;PNSC Calabria - Piano di intervento del Distretto nÃÂ°1 SEDE POLISTENA - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C245;PNSC Calabria - Piano di intervento del Distretto nÃÂ°1 SEDE ROSSANO - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C246;PNSC Calabria - Piano di intervento del Distretto nÃÂ°1 SEDE ROSSANO - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C247;PNSC Calabria - Piano di intervento del Distretto nÃÂ°1 SEDE VIBO VALENTIA - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C248;PNSC Calabria - Piano di intervento del Distretto nÃÂ°1 SEDE VIBO VALENTIA - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C249;PNSC Calabria - Piano di intervento del Distretto nÃÂ°2 DISTRETTO SUD SEDE BOVALINO - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C253;PNSC Calabria - Piano di intervento del Distretto nÃÂ°2 REVENTINO SEDE SOVERIA MANNELLI - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C254;PNSC Calabria - Piano di intervento del Distretto nÃÂ°2 REVENTINO SEDE SOVERIA MANNELLI - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C255;PNSC Calabria - Piano di intervento del Distretto nÃÂ°2 SEDE CARIATI - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C256;PNSC Calabria - Piano di intervento del Distretto nÃÂ°2 SEDE CARIATI - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C257;PNSC Calabria - Piano di intervento del Distretto nÃÂ°2 SEDE GIOIA TAURO - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C258;PNSC Calabria - Piano di intervento del Distretto nÃÂ°2 SEDE GIOIA TAURO - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C260;PNSC Calabria - Piano di intervento del Distretto nÃÂ°2 SEDE MESORACA - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C261;PNSC Calabria - Piano di intervento del Distretto nÃÂ°2 SEDE RENDE - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C262;PNSC Calabria - Piano di intervento del Distretto nÃÂ°2 SEDE RENDE - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C263;PNSC Calabria - Piano di intervento del Distretto nÃÂ°2 SEDE S.MARCO ARGENTANO - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C264;PNSC Calabria - Piano di intervento del Distretto nÃÂ°2 SEDE S.MARCO ARGENTANO - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C265;PNSC Calabria - Piano di intervento del Distretto nÃÂ°2 SEDE SERRA S. BRUNO - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C266;PNSC Calabria - Piano di intervento del Distretto nÃÂ°2 SEDE SERRA S. BRUNO - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C267;PNSC Calabria - Piano di intervento del Distretto nÃÂ°2 -SUD- SEDE CATANZARO LIDO - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C268;PNSC Calabria - Piano di intervento del Distretto nÃÂ°2 -SUD- SEDE CATANZARO LIDO - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C269;PNSC Calabria - Piano di intervento del Distretto nÃÂ°3 MEDIA VALLE CRATI - SEDE MONTALTO UFFUGO - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C270;PNSC Calabria - Piano di intervento del Distretto nÃÂ°3 MEDIA VALLE CRATI - SEDE MONTALTO UFFUGO - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C271;PNSC Calabria - Piano di intervento del Distretto nÃÂ°3 RC SUD SEDE REGGIO CALABRIA - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C272;PNSC Calabria - Piano di intervento del Distretto nÃÂ°3 RC SUD SEDE REGGIO CALABRIA - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C273;PNSC Calabria - Piano di intervento del Distretto nÃÂ°3 SEDE CORIGLIANO - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C274;PNSC Calabria - Piano di intervento del Distretto nÃÂ°3 SEDE CORIGLIANO - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C275;PNSC Calabria - Piano di intervento del Distretto nÃÂ°3 SEDE S. GIOVANNI IN FIORE - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C276;PNSC Calabria - Piano di intervento del Distretto nÃÂ°3 SEDE S. GIOVANNI IN FIORE - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C277;PNSC Calabria - Piano di intervento del Distretto nÃÂ°3 SEDE SOVERATO - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C278;PNSC Calabria - Piano di intervento del Distretto nÃÂ°3 SEDE SOVERATO - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C279;PNSC Calabria - Piano di intervento del Distretto nÃÂ°3 SEDE TAURIANOVA - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C280;PNSC Calabria - Piano di intervento del Distretto nÃÂ°3 SEDE TAURIANOVA - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C281;PNSC Calabria - Piano di intervento del Distretto nÃÂ°3 SEDE TROPEA - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C282;PNSC Calabria - Piano di intervento del Distretto nÃÂ°3 SEDE TROPEA - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C283;PNSC Calabria - Piano di intervento del Distretto nÃÂ°4 SEDE CROTONE - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C284;PNSC Calabria - Piano di intervento del Distretto nÃÂ°4 SEDE CROTONE - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C285;PNSC Calabria - Piano di intervento del Distretto nÃÂ°4 SEDE MELITO PORTO S.. - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C286;PNSC Calabria - Piano di intervento del Distretto nÃÂ°4 SEDE MELITO PORTO S.. - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C287;PNSC Calabria - Piano di intervento del Distretto nÃÂ°4 SEDE ROGLIANO - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C288;PNSC Calabria - Piano di intervento del Distretto nÃÂ°4 SEDE ROGLIANO - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C289;PNSC Calabria - Piano di intervento del Distretto nÃÂ°4 SEDE TREBISACCE - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C290;PNSC Calabria - Piano di intervento del Distretto nÃÂ°4 SEDE TREBISACCE - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C291;PNSC Calabria - Piano di intervento del Distretto nÃÂ°5 SEDE ACRI - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C292;PNSC Calabria - Piano di intervento del Distretto nÃÂ°5 SEDE ACRI - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C293;PNSC Sicilia - Piano di intervento del DISTRETTO SOCIO SANITARIO D1 - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C294;PNSC Sicilia - Piano di intervento del DISTRETTO SOCIO SANITARIO D1 - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C295;PNSC Sicilia - Piano di intervento del DISTRETTO SOCIO SANITARIO D10 - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C296;PNSC Sicilia - Piano di intervento del DISTRETTO SOCIO SANITARIO D10 - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C297;PNSC Sicilia - Piano di intervento del DISTRETTO SOCIO SANITARIO D11 - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C298;PNSC Sicilia - Piano di intervento del DISTRETTO SOCIO SANITARIO D11 - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C299;PNSC Sicilia - Piano di intervento del DISTRETTO SOCIO SANITARIO D12 - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C300;PNSC Sicilia - Piano di intervento del DISTRETTO SOCIO SANITARIO D12 - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C301;PNSC Sicilia - Piano di intervento del DISTRETTO SOCIO SANITARIO D13 - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C302;PNSC Sicilia - Piano di intervento del DISTRETTO SOCIO SANITARIO D13 - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C303;PNSC Sicilia - Piano di intervento del DISTRETTO SOCIO SANITARIO D14 - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C304;PNSC Sicilia - Piano di intervento del DISTRETTO SOCIO SANITARIO D14 - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C305;PNSC Sicilia - Piano di intervento del DISTRETTO SOCIO SANITARIO D15 - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C306;PNSC Sicilia - Piano di intervento del DISTRETTO SOCIO SANITARIO D15 - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C307;PNSC Sicilia - Piano di intervento del DISTRETTO SOCIO SANITARIO D16 - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C308;PNSC Sicilia - Piano di intervento del DISTRETTO SOCIO SANITARIO D16 - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C309;PNSC Sicilia - Piano di intervento del DISTRETTO SOCIO SANITARIO D17 - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C310;PNSC Sicilia - Piano di intervento del DISTRETTO SOCIO SANITARIO D17 - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C311;PNSC Sicilia - Piano di intervento del DISTRETTO SOCIO SANITARIO D18 - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C312;PNSC Sicilia - Piano di intervento del DISTRETTO SOCIO SANITARIO D18 - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C313;PNSC Sicilia - Piano di intervento del DISTRETTO SOCIO SANITARIO D19 - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C314;PNSC Sicilia - Piano di intervento del DISTRETTO SOCIO SANITARIO D19 - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C315;PNSC Sicilia - Piano di intervento del DISTRETTO SOCIO SANITARIO D2 - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C316;PNSC Sicilia - Piano di intervento del DISTRETTO SOCIO SANITARIO D2 - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C317;PNSC Sicilia - Piano di intervento del DISTRETTO SOCIO SANITARIO D20 - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C318;PNSC Sicilia - Piano di intervento del DISTRETTO SOCIO SANITARIO D20 - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C319;PNSC Sicilia - Piano di intervento del DISTRETTO SOCIO SANITARIO D21 - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C320;PNSC Sicilia - Piano di intervento del DISTRETTO SOCIO SANITARIO D21 - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C321;PNSC Sicilia - Piano di intervento del DISTRETTO SOCIO SANITARIO D22 - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C322;PNSC Sicilia - Piano di intervento del DISTRETTO SOCIO SANITARIO D22 - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C323;PNSC Sicilia - Piano di intervento del DISTRETTO SOCIO SANITARIO D23 - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C324;PNSC Sicilia - Piano di intervento del DISTRETTO SOCIO SANITARIO D23 - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C325;PNSC Sicilia - Piano di intervento del DISTRETTO SOCIO SANITARIO D24 - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C326;PNSC Sicilia - Piano di intervento del DISTRETTO SOCIO SANITARIO D24 - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C327;PNSC Sicilia - Piano di intervento del DISTRETTO SOCIO SANITARIO D25 - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C328;PNSC Sicilia - Piano di intervento del DISTRETTO SOCIO SANITARIO D25 - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C329;PNSC Sicilia - Piano di intervento del DISTRETTO SOCIO SANITARIO D26 - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C330;PNSC Sicilia - Piano di intervento del DISTRETTO SOCIO SANITARIO D26 - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C331;PNSC Sicilia - Piano di intervento del DISTRETTO SOCIO SANITARIO D27 - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C332;PNSC Sicilia - Piano di intervento del DISTRETTO SOCIO SANITARIO D27 - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C333;PNSC Sicilia - Piano di intervento del DISTRETTO SOCIO SANITARIO D28 - Infanzia;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
C334;PNSC Sicilia - Piano di intervento del DISTRETTO SOCIO SANITARIO D28 - Anziani;STRUMENTI DI ATTUAZIONE DIRETTA;2012MINTXPAC21;2007-2013;POC;PAC MININT SERVIZI DI CURA;0;
